ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10,HSCode,CountryOfOrigin
"","","Other","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,,,"",0.0000,0.0000,,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,No,No,No Drop Ship,,0.0000,,,,,,"","","","","","","","","","","","","","","","","","","","","","","","",ACTIVE,"","",Yes,,,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T08-000023D"," 【200g】除甲醛去味竹炭包*5件","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T08-000023D",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,23.0386,x 5,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T08-000023D","","","T08","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T03-000078C"," 【20pcs】一次性螺旋耳垢清潔棒*3件","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"6970869671885C",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,3.2703,x 3,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T03-000078C","","","T08","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"MBM-110812"," Member's Mark Tomato Sauce, 15 oz., 12 ct.","Yummy","Member's Mark",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"078742256191",0.0000,0.0000,KT,Zhuoyueusa International INC,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,78.1376,Item,,,,,"Other Product Info.","H0956006_S_MBM-110812","","","","","","","","","","HKTV Food 24%","","","","","","","","","美國","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T02-000930"," obis 藤條香薰 - 栀子花","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T02-000737",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,1.5629,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T02-000930","T02-000166","","T02","","","","","","","","","","","","","","","","淘寶","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000461"," SADOER維他命C甘油120ml","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000461",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,2.4193,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000461","6942349786860","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"SNU-110799"," Snuggle Advanced Liquid Fabric Softener259 Loads /176 fl oz","Homey","Snuggle",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"072613475421",0.0000,0.0000,KT,Zhuoyueusa International INC,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,98.7435,Item,,,,,"Other Product Info.","H0956008_S_SNU-110799","","","","","","","","","","HKTV Homey 26%","","","","","","","","","美國","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000390B"," 凍乾三文魚70g+凍乾南極燐蝦50g","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000390B",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,19.1400,Set,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000390B","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T05-000408"," 南京同仁堂 黑靈芝人參何首烏精華皂100g 人參何首烏洗髮皂 植物洗頭皂 頭皮清潔皂 洗髮水 深層清潔 滋養保濕","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"6974706670314",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,4.8125,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T05-000408","","","T05","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"T06-000491"," 日式防滑靜音拖鞋 咖色條紋 40-41","Homey","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,kg,cm,"T06-000491",0.0000,0.0000,KT,淘寶 TAOBAO (RMB),"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,14.0836,Item,,_1_: Sales of product income,,,"Other Product Info.","H0956010_S_T06-000491","","","T06","","","","","","","HKTV Homey 26%","","","","","","","","","taobao","","","",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
